timestamp,open,high,low,close,volume
2020-04-08 12:00:00,7292.26,7342.45,7226.0,7279.0,28999470.97261728
2020-04-08 13:00:00,7279.4,7310.0,7200.0,7221.39,28555394.90663772
2020-04-08 14:00:00,7221.48,7273.37,7219.47,7269.99,20655706.02021134
2020-04-08 15:00:00,7270.0,7303.54,7257.65,7276.83,20377463.72709027
2020-04-08 16:00:00,7277.42,7335.0,7251.64,7322.68,30867960.0544494
2020-04-08 17:00:00,7323.23,7349.99,7292.63,7307.95,18008652.75770977
2020-04-08 18:00:00,7308.04,7334.99,7287.31,7319.46,11926090.60265055
2020-04-08 19:00:00,7319.23,7336.38,7255.0,7306.09,23963403.85043276
2020-04-08 20:00:00,7307.6,7360.0,7305.14,7317.27,20251397.8004278
2020-04-08 21:00:00,7316.93,7358.04,7290.0,7321.48,16088355.46585308
2020-04-08 22:00:00,7322.05,7377.66,7310.0,7358.38,15792795.01306053
2020-04-08 23:00:00,7358.39,7390.0,7333.54,7361.28,19190944.03032347
2020-04-09 00:00:00,7360.26,7371.92,7323.54,7346.91,15268738.29463305
2020-04-09 01:00:00,7347.3,7354.02,7289.0,7311.9,14675705.80755695
2020-04-09 02:00:00,7311.89,7326.84,7293.84,7318.49,10396154.59892588
2020-04-09 03:00:00,7318.47,7318.47,7260.0,7286.34,16375954.32789943
2020-04-09 04:00:00,7286.35,7297.8,7234.96,7288.51,20866015.80372714
2020-04-09 05:00:00,7288.51,7311.89,7275.0,7307.88,10654356.45488328
2020-04-09 06:00:00,7308.11,7324.48,7293.12,7317.59,9930289.10758698
2020-04-09 07:00:00,7317.7,7339.09,7286.0,7330.0,13477118.24573751
2020-04-09 08:00:00,7329.99,7349.0,7308.13,7330.01,16527813.79902807
2020-04-09 09:00:00,7330.0,7330.01,7291.0,7291.0,13774368.85652265
2020-04-09 10:00:00,7291.01,7318.12,7276.69,7306.71,14484171.63964972
2020-04-09 11:00:00,7306.7,7329.39,7150.0,7183.98,46483067.40411437
2020-04-09 12:00:00,7184.0,7308.85,7108.08,7303.03,63897167.81673281
2020-04-09 13:00:00,7303.03,7342.49,7276.14,7327.68,32616553.35140878
2020-04-09 14:00:00,7327.66,7350.0,7287.63,7322.88,24566921.45160165
2020-04-09 15:00:00,7322.98,7325.0,7242.0,7282.68,24426926.07113017
